trip_duration,distance_traveled,num_of_passengers,fare,tip,miscellaneous_fees,total_fare,surge_applied
1599,7.89,1,0,31,6.125,0,0
417,1.51,1,0,10,6.2,0,0
313,1.24,1,0,9,6.45,0,0
2158,17.49,1,0,52,20.825,0,0
1615,6.12,1,0,8,26.125,0,1
923,4.38,1,0,0,6,0,0
1211,4.22,1,0,0,6,0,0
470,3.75,1,0,20,10,0,0
324,1.21,6,0,0,6,0,0
436,2.74,1,0,0,6,0,0
1901,7.31,1,0,22,27.125,0,1
948,8.61,5,0,35,6.25,0,0
425,1.61,1,0,12,5.7,0,0
2629,5.94,1,0,15,13.5,0,0
484,2.01,1,0,0,9.75,0,0
796,3.38,1,0,0,6,0,0
1223,4.31,1,0,24,13.2,0,0
715,2.69,1,0,0,13.5,0,0
849,8.9,1,0,8,26.125,0,1
423,1.71,5,0,11,5.95,0,0
341,2.35,1,0,0,34.125,0,1
805,3.93,1,0,0,26.625,0,1
730,4.15,1,0,29,13.3,0,0
1035,5.79,1,0,40,27.125,0,1
718,2.09,2,0,15,5.625,0,0
197,0.92,1,0,0,6,0,0
457,1.29,2,0,0,13.5,0,0
606,2.24,1,0,18,30.45,0,1
1507,5.1,1,0,0,6,0,0
951,8.56,1,0,41,26.95,0,1
1223,4.49,1,0,27,26.7,0,1
840,3.03,1,0,0,6,0,0
808,3.83,1,0,28,5.675,0,0
1521,6.05,1,0,0,26.625,0,1
88,0.68,1,0,15,6,0,0
599,2.77,6,0,15,5.7,0,0
1133,3.69,1,0,31,26.675,0,1
277,1.79,1,0,0,9.75,0,0
1176,10.48,1,0,34,9.95,0,0
1120,6.52,1,0,0,30.375,0,1
673,4.76,1,0,25,13.4,0,0
250,1.35,1,0,0,6,0,0
803,11.8,1,0,4,9.5,0,0
449,1.96,1,0,0,13.5,0,0
471,1.93,1,0,16,26.45,0,1
831,2.74,1,0,23,13.375,0,0
824,3.27,1,0,17,5.95,0,0
2382,20.52,1,0,0,34.125,0,1
285,0.84,1,0,0,6,0,0
1210,9.88,2,0,38,29.95,0,1
1115,4.49,1,0,0,2.25,0,0
789,2.83,1,0,0,26.625,0,1
4426,38.64,5,0,15,55.125,0,0
530,2.3,1,0,12,6.45,0,0
372,1.45,1,0,0,6,0,0
801,2.9,2,0,112,0.5,0,0
725,3.43,1,0,0,6,0,0
1085,6.07,1,0,27,26.7,0,1
1671,4.67,1,0,33,26.7,0,1
299,1.27,1,0,0,13.5,0,0
819,3.88,1,0,15,9.75,0,0
886,4.22,1,0,23,26.2,0,1
868,3.81,1,0,29,34.3,0,1
985,5.86,1,0,24,5.7,0,0
721,3.35,1,0,13,5.75,0,0
512,1.75,1,0,0,6,0,0
298,1.79,1,0,0,6,0,0
1006,3.38,2,0,19,6.125,0,0
715,2.74,1,0,21,13.65,0,0
23,0.05,1,0,15,2.25,0,0
1109,8.63,1,0,0,30.375,0,1
1023,5.7,5,0,22,6.2,0,0
735,2.59,1,0,8,5.725,0,0
1070,4.35,1,0,13,26.45,0,1
314,1.43,1,0,11,13.45,0,0
973,8.14,1,0,0,6,0,0
743,3.83,6,0,23,33.7,0,1
739,5.92,2,0,26,26.2,0,1
226,1.5,1,0,8,5.5,0,0
408,1.88,2,0,0,9.75,0,0
600,2.72,1,0,14,5.95,0,0
544,2.08,1,0,0,6,0,0
1102,5.97,1,0,0,30.375,0,1
1996,13.13,2,0,0,9.75,0,0
1291,4.75,1,0,30,5.625,0,0
72,0.55,1,0,8,9.85,0,0
729,5.95,1,0,0,2.25,0,0
633,3.3,1,0,0,30.375,0,1
885,3.94,1,0,0,13.5,0,0
124,0.48,1,0,0,6,0,0
614,2.74,4,0,15,5.7,0,0
3510,21.03,1,0,83,75.4,0,1
344,1.26,1,0,0,6,0,0
719,4.18,1,0,15,30.375,0,1
552,3.93,1,0,32,30.025,0,1
2479,6.69,6,0,0,26.625,0,1
865,7.21,1,0,0,26.625,0,1
1386,11.56,1,0,36,6.45,0,0
451,1.5,1,0,0,6,0,0
399,1.42,2,0,0,13.5,0,0
4180,10.46,2,0,0,9.75,0,0
662,3.46,1,0,18,13.2,0,0
1582,9.48,1,0,41,26.2,0,1
826,3.49,2,0,0,6,0,0
477,1.98,1,0,0,13.5,0,0
541,2.9,0,0,0,26.625,0,1
2463,9.7,6,0,0,6,0,0
204,1.19,1,0,0,13.5,0,0
622,3.09,1,0,16,13.7,0,0
311,3.01,1,0,0,26.625,0,1
658,2.72,1,0,15,6,0,0
731,2.14,1,0,0,6,0,0
1057,7.56,1,0,0,26.625,0,1
1236,7.07,1,0,27,10.2,0,0
743,8.82,1,0,0,26.625,0,1
240,1.03,1,0,9,13.95,0,0
2014,8.58,1,0,0,26.625,0,1
1089,5.2,1,0,8,26.125,0,1
384,2.41,1,0,0,6,0,0
505,1.87,1,0,0,6,0,0
1311,3.86,2,0,28,26.45,0,1
1952,4.46,1,0,20,1.75,0,0
1423,5.05,2,0,0,6,0,0
341,1.26,1,0,10,9.95,0,0
385,1.77,1,0,22,6.5,0,0
1604,5.05,1,0,42,6.3,0,0
1006,1.29,3,0,8,5.5,0,0
679,4.92,1,0,22,6.5,0,0
678,2.96,1,0,20,13.75,0,0
339,1.32,1,0,9,6.45,0,0
251,0.74,1,0,0,13.5,0,0
765,4.84,1,0,0,13.5,0,0
656,2.78,1,0,20,13.75,0,0
745,3.22,1,0,16,6.2,0,0
635,6.65,1,0,0,6,0,0
342,1.29,1,0,0,6,0,0
290,1.45,1,0,0,6,0,0
2,0.03,1,0,0,2.25,0,0
1112,15.43,1,0,38,1.75,0,0
864,1.46,1,0,17,13.45,0,0
1972,6.57,1,0,49,26.45,0,1
232,2.16,1,0,10,9.95,0,0
471,1.09,5,0,11,5.95,0,0
1071,5.84,1,0,22,14,0,0
440,2.03,1,0,12,10.2,0,0
365,1.69,1,0,14,6.175,0,0
695,2.04,1,0,24,26.175,0,1
479,1.27,3,0,12,5.7,0,0
529,3.48,1,0,0,6,0,0
687,5.44,2,0,0,6,0,0
388,6.55,1,0,0,2.25,0,0
447,1.87,1,0,0,6,0,0
916,6.18,1,0,0,13.5,0,0
53,0.42,1,0,0,6,0,0
519,2.64,1,0,14,9.7,0,0
1003,4.8,1,0,27,5.85,0,0
281,1.69,1,0,11,9.7,0,0
962,3.59,1,0,0,34.125,0,1
343,1.32,2,0,0,6,0,0
1016,5.41,1,0,0,6,0,0
835,2.91,1,0,17,5.95,0,0
463,2.25,1,0,0,30.375,0,1
1033,3.56,1,0,21,5.7,0,0
755,4.14,1,0,20,13.45,0,0
1262,5.31,1,0,28,26.45,0,1
308,1.14,1,0,8,6.1,0,0
420,1.29,1,0,0,9.75,0,0
332,2.56,1,0,0,34.125,0,1
2300,19.42,1,0,38,5.5,0,0
1883,8.47,1,0,0,26.625,0,1
99,0.84,1,0,22,6.5,0,0
1159,7.11,1,0,0,34.125,0,1
484,1.93,1,0,6,6.225,0,0
776,4.25,1,0,8,26.125,0,1
674,2.9,1,0,22,27.125,0,1
723,4.81,1,0,0,9.75,0,0
613,3.51,1,0,0,26.625,0,1
654,2.41,1,0,0,13.5,0,0
658,3.35,1,0,0,6,0,0
844,3.23,1,0,0,6,0,0
376,2.7,1,0,16,10.25,0,0
516,2.25,2,0,0,6,0,0
660,1.71,1,0,14,5.95,0,0
515,2.56,2,0,0,6,0,0
632,2.32,1,0,15,13.95,0,0
1833,11.01,1,0,46,26.45,0,1
731,1.87,1,0,22,14,0,0
1420,2.22,1,0,0,26.625,0,1
2050,6.57,1,0,0,2.25,0,0
552,4.2,1,0,16,6.2,0,0
3,0.23,5,0,0,2.25,0,0
311,2.14,1,0,11,5.95,0,0
712,2.77,1,0,23,6.175,0,0
1188,4.83,1,0,28,34.625,0,1
1026,3.98,1,0,22,27.125,0,1
495,2.95,1,0,14,5.95,0,0
572,2.3,1,0,16,6.5,0,0
1599,12.01,1,0,34,26.375,0,1
1063,4.83,1,0,23,5.875,0,0
1211,4.38,2,0,27,26.7,0,1
256,0.64,1,0,0,13.5,0,0
1189,5.42,1,0,8,13,0,0
1097,2.66,1,0,19,26.375,0,1
1373,9.5,1,0,36,26.7,0,1
715,6.44,1,0,18,27,0,1
1085,3.6,1,0,30,26.7,0,1
793,2.99,1,0,22,33.95,0,1
854,3.77,1,0,29,9.55,0,0
977,6.76,1,0,0,26.625,0,1
157,0.55,1,0,7,6.2,0,0
631,2.88,1,0,18,6.375,0,0
786,6.57,2,0,38,9.25,0,0
426,1.3,1,0,0,6,0,0
1259,11.7,1,0,51,26.325,0,1
865,4.12,1,0,9,6.225,0,0
610,2.88,1,0,15,5.7,0,0
488,1.54,1,0,0,13.5,0,0
1809,18.76,1,0,0,30.375,0,1
859,4.63,1,0,15,33.75,0,1
433,1.45,1,0,11,5.875,0,0
256,1.08,1,0,0,13.5,0,0
287,1.05,1,0,0,13.5,0,0
972,5.28,1,0,0,13.5,0,0
630,2.67,1,0,14,5.95,0,0
378,2.14,1,0,0,13.5,0,0
1363,4.51,2,0,29,26.2,0,1
489,2.14,1,0,0,9.75,0,0
1241,4.18,1,0,38,5.5,0,0
706,3.27,1,0,23,33.7,0,1
688,6.12,1,0,0,6,0,0
601,2.11,1,0,20,33.7,0,1
570,3.57,1,0,0,9.75,0,0
300,1.32,1,0,0,6,0,0
611,3.06,1,0,15,5.625,0,0
2506,10.3,2,0,0,13.5,0,0
1925,17.03,1,0,70,5.9,0,0
898,3.07,3,0,19,13.7,0,0
1011,4.54,1,0,0,6,0,0
1085,4.62,1,0,0,9.75,0,0
208,0.84,1,0,0,9.75,0,0
1402,15.29,1,0,55,5.9,0,0
560,4.02,1,0,24,27,0,1
1500,12.12,1,0,50,58.9,0,0
961,11.28,1,0,12,22.95,0,1
326,2.25,1,0,12,13.95,0,0
1668,12.49,1,0,45,26.7,0,1
1860,17.03,2,0,75,22.95,0,1
412,1.69,1,0,0,6,0,0
2760,15.18,1,0,0,26.625,0,1
508,1.46,1,0,0,6,0,0
1174,5.46,1,0,27,26.7,0,1
337,0.8,1,0,22,14,0,0
696,3.77,1,0,16,9.95,0,0
116,1,1,0,0,6,0,0
2144,8.5,1,0,0,13.5,0,0
1217,11.78,2,0,55,5.675,0,0
388,1.19,2,0,0,13.5,0,0
416,1.58,1,0,8,6.25,0,0
1132,2.35,1,0,24,6,0,0
778,4.04,1,0,0,13.5,0,0
549,2.56,6,0,0,6,0,0
679,3.12,1,0,20,6.25,0,0
611,2.32,1,0,19,33.95,0,1
163,0.98,1,0,0,9.75,0,0
687,2.09,1,0,0,13.5,0,0
788,1.51,1,0,8,5.5,0,0
339,2.24,2,0,18,9.3,0,0
428,1.13,2,0,8,26.125,0,1
340,1.58,1,0,14,9.4,0,0
420,1.82,1,0,0,6,0,0
412,2.61,1,0,12,5.7,0,0
871,3.88,1,0,18,6.45,0,0
1069,5.47,1,0,0,26.625,0,1
902,9.11,1,0,38,9.25,0,0
382,2.11,1,0,13,9.5,0,0
5,0.02,1,0,0,2.25,0,0
1277,7.08,1,0,0,6,0,0
602,3.8,1,0,21,34.2,0,1
303,2.01,1,0,11,9.7,0,0
958,4.35,1,0,0,6,0,0
460,2.4,1,0,0,9.75,0,0
377,2.49,5,0,0,9.75,0,0
1142,11.57,1,0,0,34.125,0,1
1085,6.81,1,0,0,6,0,0
1078,2.88,1,0,0,6,0,0
260,1.5,5,0,0,6,0,0
587,1.77,1,0,0,6,0,0
498,7.26,1,0,0,6,0,0
846,4.17,3,0,15,26.625,0,1
1184,9.33,1,0,33,5.625,0,0
265,1.77,1,0,0,6,0,0
962,2.57,2,0,75,26.625,0,1
1218,6.15,1,0,26,9.7,0,0
391,2.45,1,0,0,13.5,0,0
2380,14.16,2,0,55,30.125,0,1
603,6.76,1,0,0,28.5,0,0
687,2.25,2,0,20,13.75,0,0
824,4.06,1,0,28,26.825,0,1
1026,4.99,1,0,11,26.875,0,1
432,1.95,1,0,12,10.2,0,0
2749,12.38,1,0,0,26.625,0,1
1226,8.19,1,0,44,34.3,0,1
703,1.4,1,0,0,13.5,0,0
535,2.86,1,0,0,9.75,0,0
6370,15.58,1,0,0,6,0,0
616,2.8,1,0,19,26.45,0,1
451,2.33,1,0,17,26.2,0,1
1264,14.77,1,0,0,9.75,0,0
862,3.07,1,0,18,9.45,0,0
1254,5.41,1,0,22,27.125,0,1
241,1.24,1,0,9,5.7,0,0
541,2.69,5,0,15,13.2,0,0
89,0.97,1,0,9,6,0,0
1474,7.13,1,0,52,26.525,0,1
1234,4.68,6,0,27,26.7,0,1
797,4.52,1,0,25,9.65,0,0
449,2.35,1,0,0,26.625,0,1
745,3.54,1,0,34,34.025,0,1
473,2.82,1,0,0,6,0,0
801,3.17,1,0,0,26.625,0,1
1421,4.94,1,0,0,6,0,0
765,3.23,6,0,0,26.625,0,1
699,5.01,1,0,0,6,0,0
624,2.35,1,0,0,13.5,0,0
401,1.71,1,0,10,5.825,0,0
518,3.12,1,0,0,6,0,0
1523,22.08,1,0,34,56.825,0,1
618,2.37,1,0,0,6,0,0
517,3.64,1,0,0,26.625,0,1
821,2.19,1,0,12,5.55,0,0
501,1.87,1,0,0,13.5,0,0
1277,11.52,2,0,45,5.625,0,0
425,1.93,1,0,15,26.625,0,1
836,5.07,1,0,0,9.75,0,0
482,1.21,1,0,12,9.45,0,0
993,4.41,1,0,0,9.75,0,0
611,2.7,5,0,22,9.8,0,0
991,9.01,1,0,35,33.7,0,1
424,1.54,5,0,13,5.75,0,0
754,2.45,1,0,0,13.5,0,0
514,1.46,1,0,16,14,0,0
392,1.77,1,0,8,5.5,0,0
658,2.59,2,0,0,6,0,0
664,3.65,1,0,18,13.2,0,0
1493,4.06,6,0,37,26.3,0,1
939,8.69,1,0,22,14,0,0
1234,5.07,1,0,0,6,0,0
273,1.77,1,0,0,6,0,0
661,1.51,1,0,0,13.5,0,0
1078,10.93,1,0,47,26.575,0,1
743,2,1,0,28,5.75,0,0
718,2.9,1,0,25,10.175,0,0
480,1.45,1,0,15,6,0,0
690,2.25,1,0,22,6.05,0,0
913,2.69,1,0,0,6,0,0
1573,14,1,0,22,27.125,0,1
1056,12.62,1,0,37,29.9,0,1
372,1.56,1,0,0,13.5,0,0
562,2.12,1,0,0,6,0,0
582,2.61,1,0,7,33.95,0,1
770,2.54,1,0,16,6.2,0,0
210,1.03,1,0,9,9.45,0,0
938,4.2,1,0,26,34.45,0,1
1097,6.73,1,0,0,34.125,0,1
1312,6.69,1,0,39,26.175,0,1
389,1.77,1,0,11,13.75,0,0
563,2.01,1,0,0,6,0,0
757,5.44,1,0,16,6.5,0,0
1318,8.64,1,0,0,6,0,0
637,1.14,1,0,0,13.5,0,0
2314,8.55,1,0,0,26.625,0,1
1527,6.69,1,0,21,26.625,0,1
544,1.63,1,0,0,13.5,0,0
1024,3.32,1,0,0,13.5,0,0
288,1.4,1,0,15,10.05,0,0
303,1.63,1,0,10,6.2,0,0
243,0.77,1,0,14,33.7,0,1
821,9.01,1,0,33,30.45,0,1
597,2.96,1,0,0,26.625,0,1
230,1.19,1,0,10,13.7,0,0
1079,3.86,1,0,22,34.625,0,1
545,3.36,1,0,0,6,0,0
1651,9.8,1,0,0,26.625,0,1
1699,8.61,1,0,38,26.125,0,1
639,2.14,1,0,0,6,0,0
302,1.72,1,0,14,9.4,0,0
664,2.22,1,0,19,13.85,0,0
392,4.52,1,0,0,9.75,0,0
1249,3.81,2,0,0,6,0,0
2059,10.64,1,0,45,26.7,0,1
824,9.25,1,0,0,6,0,0
531,2.09,1,0,12,6.45,0,0
391,1.5,1,0,0,26.625,0,1
655,2.49,5,0,16,6.5,0,0
408,1.58,1,0,0,6,0,0
785,2.45,1,0,30,13.5,0,0
2799,15.29,1,0,61,26.375,0,1
1077,4.07,1,0,0,26.625,0,1
1133,5.26,1,0,32,26.575,0,1
538,4.06,1,0,0,9.75,0,0
641,2.24,1,0,8,5.5,0,0
1094,11.68,1,0,38,26.125,0,1
602,2.41,1,0,0,6,0,0
999,6.66,1,0,0,13.5,0,0
124,0.11,1,0,0,13.5,0,0
288,1.32,2,0,0,6,0,0
541,2.2,1,0,13,6.2,0,0
777,4.35,1,0,28,55.25,0,0
1058,4.83,1,0,28,26.375,0,1
664,2.64,5,0,15,5.7,0,0
373,1.61,1,0,0,9.75,0,0
43,0.03,2,0,0,13.5,0,0
2386,8.21,1,0,0,13.5,0,0
546,3.86,1,0,0,6,0,0
921,1.54,1,0,0,13.5,0,0
1031,4.02,0,0,26,34.45,0,1
816,4.68,1,0,0,9.75,0,0
738,3.8,3,0,0,6,0,0
1112,2.8,1,0,25,26.45,0,1
1360,14.76,1,0,0,9.75,0,0
1589,4.51,1,0,0,13.5,0,0
620,2,1,0,18,13.875,0,0
554,2.62,1,0,26,26.575,0,1
1261,3.2,1,0,24,13.2,0,0
917,4.18,1,0,0,6,0,0
507,1.9,1,0,16,10.25,0,0
334,1.05,1,0,14,9.925,0,0
368,1.38,1,0,10,6.2,0,0
297,1.17,2,0,9,6.45,0,0
798,4.18,1,0,0,9.75,0,0
323,1.77,1,0,0,6,0,0
311,2.09,1,0,0,6,0,0
582,2.14,1,0,0,9.75,0,0
637,3.41,1,0,24,27.075,0,1
913,4.86,1,0,19,5.75,0,0
268,1.09,1,0,0,13.5,0,0
900,2.9,1,0,0,13.5,0,0
732,3.32,1,0,15,6,0,0
339,1.93,1,0,0,6,0,0
419,1.93,2,0,17,34.45,0,1
1891,7.27,2,0,0,13.5,0,0
967,6.92,2,0,25,13.7,0,0
771,4.99,2,0,19,30.125,0,1
644,4.83,1,0,0,9.75,0,0
368,1.79,1,0,8,13,0,0
550,1.93,1,0,0,6,0,0
318,2.59,1,0,0,9.75,0,0
524,2.51,1,0,19,5.675,0,0
499,2.99,1,0,15,13.95,0,0
686,2.74,1,0,0,6,0,0
428,1.05,1,0,0,6,0,0
2633,9.75,1,0,45,13.95,0,0
693,8.85,1,0,0,30.375,0,1
823,4.04,1,0,0,6,0,0
900,4.89,1,0,26,29.95,0,1
461,1.87,1,0,20,13.3,0,0
1285,7.16,1,0,0,13.5,0,0
676,4.49,1,0,0,13.5,0,0
789,3.7,1,0,0,9.75,0,0
1309,8.87,1,0,0,6,0,0
2946,5.12,1,0,30,26.625,0,1
1047,3.91,1,0,15,34.125,0,1
344,1.95,1,0,0,6,0,0
1997,3.22,1,0,43,26.75,0,1
323,1.48,4,0,11,9.7,0,0
724,4.07,1,0,32,26.275,0,1
562,3.91,1,0,0,6,0,0
252,2.04,1,0,0,6,0,0
1459,3.8,1,0,0,6,0,0
366,1.17,1,0,0,6,0,0
293,1.38,1,0,0,13.5,0,0
774,4.52,1,0,5,6.25,0,0
9,3.06,0,0,122,9.25,0,0
1439,12.7,1,0,47,33.7,0,1
1983,10.36,1,0,44,30.7,0,1
660,5.26,4,0,24,26.7,0,1
826,5.99,2,0,0,13.5,0,0
1879,11.75,1,0,38,26.125,0,1
792,4.2,2,0,0,2.25,0,0
408,2.82,1,0,0,6,0,0
1438,10.09,1,0,0,26.625,0,1
537,1.95,1,0,15,28.125,0,0
1279,4.99,2,0,0,6,0,0
431,1.9,1,0,12,9.45,0,0
345,3.81,1,0,0,26.625,0,1
1166,9.82,1,0,0,9.75,0,0
266,0.9,1,0,13,6.05,0,0
411,0.84,1,0,0,13.5,0,0
1085,4.54,1,0,8,5.5,0,0
678,3.54,1,0,0,6,0,0
481,2.22,1,0,0,6,0,0
522,2.06,1,0,0,6,0,0
473,1.98,1,0,22,6.5,0,0
593,2.61,1,0,0,6,0,0
952,3.22,1,0,15,26.625,0,1
616,3.35,1,0,0,9.75,0,0
900,3.69,1,0,25,33.95,0,1
1164,2.8,1,0,0,6,0,0
699,3.2,1,0,25,27.05,0,1
254,1.93,1,0,0,6,0,0
